中国中医科学院,
北京大学医学部,
首都医科大学,
首都医科大学燕京医学院,
北京协和医学院（清华大学医学部）,
北京中医药大学,
军事医学科学院,
天津医科大学,
天津中医药大学,
南开大学医学院,
上海医药工业研究院,
上海生命科学研究院,
复旦大学医学院,
第二军医大学,
上海中医药大学,
同济大学医学院,
上海交通大学医学院,
重庆医科大学,
第三军医大学,
南京大学医学院,
徐州医学院,
东南大学医学院,
江苏大学医学院,
苏州大学医学部,
扬州大学医学院,
南京中医药大学,
南京医科大学,
中国药科大学,
南通大学医学院,
浙江大学医学院,
宁波大学医学院,
温州医科大学,
浙江中医药大学,
中山大学中山医学院,
广州中医药大学,
暨南大学医学院,
广东医学院,
广州医科大学,
汕头大学医学院,
南方医科大学,
广东药学院,
福建医科大学,
福建中医药大学,
厦门大学医学院,
华中科技大学同济医学院,
湖北中医药大学,
武汉大学医学部,
武汉大学医学职业技术学院,
中南大学湘雅医学院,
湖南中医药大学,
中国医科大学,
辽宁中医药大学,
大连医科大学,
辽宁医学院,
沈阳医学院,
沈阳药科大学,
哈尔滨医科大学,
佳木斯大学,
黑龙江中医药大学,
黑龙江中医研究院,
吉林大学白求恩医学院,
长春中医药大学,
山东大学医学院,
潍坊医学院,
山东中医药大学,
济宁医学院,
滨州医学院,
青岛大学医学院,
泰山医学院,
西安交通大学医学部,
陕西中医药大学,
第四军医大学,
安徽医科大学,
安徽中医药大学,
蚌埠医学院,
皖南医学院,
四川医科大学,
川北医学院,
四川大学,
成都中医药大学,
郑州大学医学院,
新乡医学院,
河南中医学院,
河南大学医学院,
河北医科大学,
河北大学医学部,
华北煤炭医学院（华北理工大学),
承德医学院,
兰州大学医学院,
甘肃中医药大学,
南昌大学江西医学院,
江西中医药大学,
昆明医科大学,
云南中医学院,
山西中医学院,
山西医科大学,
长治医学院,
广西中医药大学,
广西医科大学,
桂林医学院,
遵义医学院,
贵阳中医学院,
贵州医科大学,
包头医学院,
内蒙古医科大学,
新疆医科大学,
石河子大学医学院,
宁夏医科大学,
齐齐哈尔医学院,
海南医学院,
西藏藏医学院,
右江民族医学院,
菏泽医学专科学校,
赣南医学院,
牡丹江医学院,
新疆维吾尔医学专科学校,
长春医学高等专科学校,
郑州澍青医学高等专科学校,
天津医学高等专科学校,
浙江医药高等专科学校,
安徽医学高等专科学校,
邢台医学高等专科学校,
湖北中医药高等专科学校,
安徽中医药高等专科学校,
湖南中医药大学湘杏学院,
大连医科大学中山学院,
温州医学院仁济学院,
浙江中医药大学滨江学院,
安徽医科大学临床医学院,
遵义医学院医学与科技学院,
成都医学院,
吉林医药学院,
唐山职业技术学院,
长春东方职业学院,
怀化医学高等专科学校,
大庆医学高等专科学校,
山东协和职业技术学院,
江西中医药高等专科学校,
山东中医药高等专科学校,
漯河医学高等专科学校,
南阳医学高等专科学校,
商丘医学高等专科学校,
湖南中医药高等专科学校,
邵阳医学高等专科学校,
肇庆医学高等专科学校,
柳州医学高等专科学校,
重庆三峡医药高等专科学校,
四川中医药高等专科学校,
遵义医药高等专科学校,
贵阳护理职业学院,
保山中医药高等专科学校,
曲靖医学高等专科学校,
楚雄医药高等专科学校,
张掖医学高等专科学校,
平凉医学高等专科学校,
青海卫生职业技术学院,
辽宁医学院医疗学院,
上海医药高等专科学校,
浙江医学高等专科学校,
宁波天一职业技术学院,
泉州医学高等专科学校,
齐鲁医药学院（山东万杰医学院）,
长沙医学院,
华北煤炭医学院冀唐学院,
江西中医药大学科技学院,
昆明医学院海源学院,
天津医科大学临床医学院,
中国医科大学临床医药学院,
河北北方学院医学院,
贵阳医学院神奇民族医药学院,
河北医科大学临床学院,
白城医学高等专科学校,
沧州医学高等专科学校,
辽宁中医药大学杏林学院,
山东医学高等专科学校,
广西中医药大学赛恩斯新医药学院,
贵阳中医学院时珍学院,
新疆医科大学厚博学院,
山东药品食品职业学院,
沈阳医学院何氏视觉科学学院,
新乡医学院三全学院,
郧阳医学院药护学院,
山西医科大学晋祠学院,
西安医学院,
江西医学高等专科学校,
山西生物应用职业技术学院,
民办山东万杰医学高等专科学校,
山西职工医学院,
哈尔滨市职工医学院,
重庆医药高等专科学校,
山东协和学院,
湖北医药学院,
西安医学高等专科学校,
石家庄医学高等专科学校,
复旦大学上海医学院,
黑龙江护理高等专科学校,
江西卫生职业学院,
黔南民族医学高等专科学校,
厦门医学高等专科学校,
贵阳市卫生学校,
广西卫生职业技术学院,
辽宁何氏医学院,
益阳医学高等专科学校,
福建卫生职业技术学院,
江苏建康职业学院,
河北联合大学冀唐学院,
苏州卫生职业技术学院,
甘肃医学院,
盐城卫生职业技术学院,
安庆医药高等专科学校,
河南医学高等专科学校,
漳州卫生职业学院,
上海健康职业技术学院,
湖北医药学院药护学院,
河北中医学院,
四川护理职业学院,
承德护理职业学院,
惠州卫生职业技术学院,
济南护理职业学院,
